supplierCode,supplierName,supplierCurrency,billingAddress,creationDate
S00142,Shepherd Electrical (Act) P/L,AUD,"PO Box 31, Mitchell ACT 2911 Australia",29/06/2020
S00144,Spacpac Industries Pty Ltd,AUD,"PO Box 1468, Wollongong NSW 2500 Australia",29/06/2020
S00145,Davin Industries Limited,AUD,"PO Box 24-015 Christchurch,   8062 New Zealand",29/06/2020
S00146,Gainfort'S Pty Ltd,AUD,"1 Hornsby Street, Hornsby NSW 2077 Australia",29/06/2020
S00147,St George Bank,AUD,Australia,29/06/2020
S00148,St George Bank US Trans Fees,USD,Australia,29/06/2020
S00149,Ramelec Electronic,AUD,"PO Box 755Msc, Torrens Park SA 5062 Australia",29/06/2020
S00150,RMS Components Pty Ltd,AUD,"174B Wecker Road, Mansfield QLD 4122 Australia",29/06/2020
S00151,Rms Parts,AUD,"Unit 3/16 Steel Street, Capalaba QLD 4157 Australia",29/06/2020
S00152,Wiltronics Research,AUD,"5-7 Ring Road, Alfredton VIC 3350 Australia",29/06/2020
S00153,X-On Electronics,AUD,"1161 Albany Highway, Bentley WA 6102 Australia",29/06/2020
S00154,Thomas Warburton,AUD,"PO Box 566, Mulgrave VIC 3170 Australia",29/06/2020
S00155,Stowe Australia Pty Ltd,AUD,"12 Elizabeth Avenue, Taree NSW 2430 Australia",29/06/2020
S00156,Sunset Strip Automotive,AUD,"Unit 5/30 Swan Street, Wollongong NSW 2500 Australia",29/06/2020
S00157,Susan George Cleaning,AUD,Australia,29/06/2020
S00158,Sustainable Certification,AUD,"Level 5, 326 William Street, Melbourne VIC 3000 Australia",29/06/2020
S00159,TAFE NSW,AUD,"Ultimo College 651-731 Harris Street, Ultimo NSW 2007 Australia",29/06/2020
S00160,Taiwan Pulse Motion,USD,"5F.-11, No.210 Gongyequ 38th Xitun Dist,    Taiwan",29/06/2020
S00161,Talitor Technology,USD,"6F-6 No, 646, Sec.5 Chongsin Rd, Sanchong Dist, New Taipei City   Taiwan",29/06/2020
S00162,Telstra Limited (BPAY),AUD,"GPO Box 9901, Melbourne VIC 3001 Australia",29/06/2020
S00163,Tenderwatch Pty Ltd,AUD,"Suite2, Level 10 460 Burke Street, Melbourne VIC 3000 Australia",29/06/2020
S00164,The Flagstaff Group Ltd,AUD,"254 Nolan Street, Unanderra NSW 2526 Australia",29/06/2020
S00165,The Hardware Man,AUD,"53-57 Princess Hwy, Unanderra NSW 2526 Australia",29/06/2020
S00166,Tile & Bathroom Supastore,AUD,"1st Ave, Unanderra NSW 2526 Australia",29/06/2020
S00167,Titanium Traffic Plans,AUD,"7 Cara Court, South Penrith NSW 2750 Australia",29/06/2020
S00168,TNT Australia Pty Ltd,AUD,"PO Box 559, Mascot NSW 1460 Australia",29/06/2020
S00169,Toll Express,AUD,"PO Box 7222, St Kilda VIC 8004 Australia",29/06/2020
S00170,Toll North Pty Ltd,AUD,"PO Box 620, Archerfeild QLD 4108 Australia",29/06/2020
S00171,Toll Priority,AUD,"GPO Box 210, Melbourne VIC  Australia",29/06/2020
S00172,Tr Calibration,AUD,"PO Box 1185, Blackburn North VIC 3130 Australia",29/06/2020
S00173,Traffic Data &  Control,AUD,"2/11 Hutchinson Street, Burleigh Heads QLD 4220 Australia",29/06/2020
S00176,United Parcel Service Pty Ltd,AUD,"247 King Street, Mascot NSW 2020 Australia",29/06/2020
S00177,Upsscs  Ups Scs (Australia) Pty Ltd,AUD,"PO Box 547, Mascot NSW  Australia",29/06/2020
S00178,Vocam Worldwide Publishing,AUD,"PO Box 80, Blackburn VIC 3130 Australia",29/06/2020
S00179,Voixmate,USD,"Room 1701-03, Boc Tower No. 338 Qinghe East Road, Panyu, Guangzhou Guangdong  511400 China",29/06/2020
S00180,Vtrac World Wide,AUD,"No. 20, Venugopal Swamy Layout, Intermediate Ring Road, Koramangala, Bangalor-560, Karnataka   India",29/06/2020
S00181,Warehouse1,AUD,"9/440 Collins St, Melbourne VIC 3000 Australia",29/06/2020
S00182,Westpac,AUD,Australia,29/06/2020
S00183,Wintrade,AUD,Australia,29/06/2020
S00184,Wollongong City Security,AUD,"7/295 Princess Highway, Unanderra NSW 2526 Australia",29/06/2020
S00185,Workcover Queensland,AUD,"GPO Box 2772, Brisbane QLD 4001 Australia",29/06/2020
S00186,Wynstan Designs Pty Ltd,AUD,"3/35 Central Road, Unanderra NSW 2526 Australia",29/06/2020
S00187,Zippy Golf,AUD,"30 Kooranga Cres, Cordeaux Heights NSW 2526 Australia",29/06/2020
S00188,ADT Security (BPAY),AUD,"38 South St, Rydalmere NSW 2116 Australia",29/06/2020
S00190,Excite Technologies,AUD,"PO Box 220, Albany Creek QLD 4035 Australia",29/06/2020
S00191,Johnson Controls Australia Pty Limited,AUD,"Unit 1/101 Newmarket Road, Windsor QLD 4030 Australia",01/07/2020
S00192,SOUTH COAST LOCKSMITHS,AUD,Australia,01/07/2020
S00193,EAA/WES ALLIANCE USD,USD,"84-90 Parramatta Road, Summer Hill NSW 2130 Australia",01/07/2020
S00194,Primus Security Pty Ltd,AUD,"Po Box 558, Kiama NSW 2533 Australia",01/07/2020
S00200,IBASE TECHNOLOGY,USD,"NANKANG, TAIPEI  115 Taiwan",08/07/2020
S00202,Shift Computer Solutions,AUD,"Level 1, 80 Mica Street, Carole Park QLD 4301 Australia",10/07/2020
S00203,SMB Solutions Cloud Services Pty Ltd,AUD,"Unit 146 61 Noosa Springs, Noosa QLD 4567 Australia",13/07/2020
S00204,XT-Elecrow (Use Other Acc),##,"8th Floor, F1 Building Fushen Industrial Park Hangcheng Road, Gushu, Bao'an District, Shenzhen  518126 China",21/07/2020
S00207,icare Workers Insurance,AUD,Australia,22/07/2020
S00208,Little Pot Creative,AUD,"142 Harbour Blvd, Shell Cove   Australia",23/07/2020
S00209,Leader Computers Pty Ltd,AUD,"35-37 Overseas Drive, Noble Park VIC 3174 Australia",23/07/2020
S00210,Complete Computing,AUD,"47 Ferry Street, Maryborough QLD 4650 Australia",24/07/2020
S00211,BWR Technologies Pty Ltd,AUD,"PO Box 6686, North Ryde NSW 2113 Australia",30/07/2020
S00212,M Wave,AUD,"Unit B1, 3/29 Birnie Ave, Lidcombe NSW 2141 Australia",31/07/2020
S00213,Therapeutic Goods Administration,AUD,"Po Box 100, Woden ACT 2606 Australia",05/08/2020
S00214,Fluid Power Engineering Solutions Pty Ltd,AUD,Australia,05/08/2020
S00215,DEBETREK,AUD,"18 ARMADA PLACE, BANYO QLD 4014 Australia",07/08/2020
S00216,SYS-MAC (Do not use this account),##,"2 Woodlands Spectrum#05-18 Woodlands Sector 1, Singapore   Singapore",13/08/2020
S00217,Sektor Pty Ltd,AUD,"Unit 2, Building A  2 Unwin Street, Rosehill NSW 2142 Australia",19/08/2020
S00218,Sys-Mac Automation,SGD,"2 Woodlands Sector #05-18, Singapore   Singapore",02/09/2020
S00219,XT-Elecrow Ltd,USD,"Fushen Industrial Park Hangcheng Road, Gushu, Bao'an District, Shenzhen  518126 China",02/09/2020
S00220,Kapmal Pty Ltd,AUD,"34 Downes Drive, Albion Park NSW 2527 Australia",11/09/2020
S00221,Advitech Pty Ltd,AUD,"PO Box 207, Mayfield NSW 2304 Australia",11/09/2020
S00222,Linkt Sydney,AUD,Australia,15/09/2020
S00223,EASY STORAGE TECHNOLOGIES CO LTD,USD,Australia,28/09/2020
S00224,SHENZHEN UNIT POWER TECHNOLOGY CO LTD,USD,Australia,28/09/2020
S00225,MDS Pacific Pty Ltd,AUD,North Ryde NSW 2113 Australia,30/09/2020
S00226,Peter Warren Automotive Pty Ltd,AUD,"Todman Road, Warwick Farm NSW 2170 Australia",01/10/2020
S00227,HS ROADS,AUD,"PO BOX 9406, WYNNUM WEST QLD 4178 Australia",06/10/2020
S00229,TINDEI INTELLIGENCE TECHNOLOGY,USD,RM 1001 East Tower Real Estate Building   Shanghai   China,14/10/2020
S00230,TELTONIKA ASIA PTE LTD,USD,Homng Leong Buildinbg   Singapore   Singapore,14/10/2020
S00231,Pixelcase Group Pty Ltd,AUD,"5/47 Havelock Street, West Perth WA 6005 Australia",21/10/2020
S00232,DIGI-KEY ELECTRONICS,USD,Fargo  58102 USA,21/10/2020
S00233,Optus Billing Services Pty Ltd (BPAY),AUD,NSW  Australia,23/10/2020
S00234,Sprocket Pty Ltd,AUD,St Kilda VIC 3182 Australia,10/11/2020
S00235,CIPEM HK Co. Ltd,USD,"19F/ Amtel Building  144-148 des Vœux Road, Central, HONG KONG   Hong Kong",12/11/2020
S00236,"Shanghai Cando Trading Co., Ltd",USD,"Rm 1001, East Tower, Real Estate Building  No. 95 Beijing Road (W), Shanghai   China",25/11/2020
S00237,Maid by Ellee Jean,AUD,"310 Bong Bong Road, Horsley NSW  Australia",04/12/2020
S00238,Gerardo De Liseo,AUD,"PO Box 234, Wollongong NSW 2520 Australia",08/12/2020
S00239,Global-Mark Pty Ltd,AUD,North Ryde NSW 2113 Australia,18/12/2020
S00240,"David Power Electronics Co., Ltd.",USD,"No.18, 85 Sec., Chung Chen Road, Meinung Town, Kaoshiung Hsien  84301 Taiwan",23/12/2020
S00241,Hardware Bargains Pty Ltd trading as The Fastener Factory,AUD,Huntingdale VIC 3166 Australia,18/01/2021
S00242,ARCHFORD,AUD,"3 Beddoe Rd, VERMONT VIC 3133 Australia",20/01/2021
S00243,FJP Manufacturing Pty Ltd,AUD,"86-88 Willarong Road, Caringbah NSW 2229 Australia",21/01/2021
S00244,LEFENG LOGISTICS AUSTRALIA PTY LTD,AUD,Australia,29/01/2021
S00245,"TD Intelligence (Guangzhou) Co., Ltd.",USD,"Rm.102, No.8, Ln.299, Bi Sheng Rd., Zhang Jiang High-Tech Park, Pudong, Shanghai  201204 China",02/02/2021
S00246,Traffic Facilities Maintenance Pty Ltd,AUD,"Unit 4 33 Heathcote Road, MOOREBANK NSW 2170 Australia",15/02/2021
S00247,Wise's Boxes,AUD,"Unit 5, 34-38 Anzac Avenue, Smeaton Grange NSW 2567 Australia",01/03/2021
S00248,Opal Packaging Australia Pty Ltd,AUD,"Level 2, 109 Burwood Road, Hawthorn VIC 3122 Australia",08/03/2021
S00249,Konnect Fastening Systems,AUD,Wollongong NSW 2500 Australia,17/03/2021
S00250,"Shenzhen Rivers Technology Co., Ltd",USD,Shenzhen  518131 China,17/03/2021
S00251,Kapha Alkaline Water Solutions,AUD,Australia,31/03/2021
S00252,WinnerteK (Use S00433),USD,"1F, No.3, Lane 19, Lin-yi Street, Taipei   Taiwan",14/04/2021
S00253,Crazy Domains (BY EB OR BL CR CARD),AUD,Australia,20/04/2021
S00254,FS.COM Pty Ltd,AUD,"57-59 Edison Rd, Dandenong South VIC 3175 Australia",26/04/2021
S00255,DTDS Technology Pte Ltd,USD,"Blk 19, Kallang Ave, #05-153,   339410 Singapore",30/04/2021
S00256,LTECH,USD,Zhuhai   China,03/05/2021
S00257,ERNTEC Pty Ltd,AUD,"15 Koornang Road, Scoresby VIC 3179 Australia",14/05/2021
S00258,Nida Technology,AUD,"PO Box 2338, Ellenbrook WA 6055 Australia",17/05/2021
S00259,EML VIC -VWA (Victorian WorkCover Authority),AUD,"GPO Box 4695, Melbourne VIC 3000 Australia",19/05/2021
S00260,"Yongzhou Picell Electronics Co., Ltd",USD,Yongzhou Hunan   China,26/05/2021
S00261,CS Concrete Polishing,AUD,Australia,28/05/2021
S00262,Oztechshopping - On Line,AUD,Wiley Park NSW 2195 Australia,01/06/2021
S00263,Ramcity Australia - On Line,AUD,Pymble NSW 2073 Australia,01/06/2021
S00264,Paramount Bed Asia Pacific Pte. Ltd,USD,"1 Raffles Place #19-01 Office Tower One,   048616 Singapore",07/06/2021
S00265,PRASAMSHA DHAKAL,AUD,"22 Lorraway Street, Holt ACT 2615 Australia",11/06/2021
S00266,Marsh Alliance,AUD,Carole Park QLD 4300 Australia,17/06/2021
S00267,ESTRON A/S,DKK,"Industrivej 5, Knudlund, DK-8653 Them   Denmark",17/06/2021
S00268,Avalue Technology Inc.,USD,"7/F, No.228, Lian-cheng Rd., Chung-Ho City, Taipei  235 Taiwan",23/06/2021
S00269,1300StarPickets,AUD,Girraween NSW 2145 Australia,01/07/2021
S00271,Spacepac Industries,AUD,Wollongong NSW 2500 Australia,28/07/2021
S00272,Powercom,AUD,Thornleigh NSW 2120 Australia,29/07/2021
S00273,Crestwood Electrical Pty Ltd,AUD,"25 Merindah Road, Baulkham Hills NSW 2153 Australia",02/08/2021
S00274,Phillip Walters Electrical Services.,AUD,"46 The Jib, Port Macquarie NSW 2444 Australia",02/08/2021
S00275,Elecrow,USD,"Hangkong Rd, Baoan District, Shenzhen  518126 China",09/08/2021
S00276,Future Electronics Inc. (Distribution) Pte Ltd,USD,"8 Changi Business Park Avenue 1 #06-51, ESR BizPark @ Changi (South Tower)  486018 Singapore",12/08/2021
S00277,Wireless 1,AUD,"PO Box 6091, Wetherill Park NSW 2164 Australia",16/08/2021
S00278,LAN Installations Pty Ltd,AUD,"23 Penelope Cresent, Arndell Park NSW 2148 Australia",17/08/2021
S00279,Video Security Products Pty Ltd,AUD,"Unit 7, 19 Unwins Bridge Road, St Peters NSW 2044 Australia",18/08/2021
S00280,Teltonika Australia Pty Ltd,AUD,"Buzz Suite 1202, 289 King Street, Mascot NSW 2020 Australia",24/08/2021
S00281,Upskilled Pty Ltd,AUD,"PO Box 487, ST LEONARDS NSW 1590 Australia",26/08/2021
S00282,Sales Star Australasia Limited,AUD,"PO Box 31824, Milford Auckland  0741 New Zealand",26/08/2021
S00283,CW Brands,AUD,St Marys NSW 2760 Australia,26/08/2021
S00284,FD Global Corporation,USD,"10F., No.188 Baoqiao Road, Xindian Dist., New Taipei City  231 Taiwan",02/09/2021
S00285,Castle Electronics (Aust) Pty Ltd,AUD,"Unit 6 / 28 Ricketts Rd, Mount Waverley VIC 3149 Australia",08/09/2021
S00286,i-LEC Group Pty Ltd,AUD,"PO BOX 2740, Cairns QLD 4870 Australia",08/09/2021
S00287,Lumen Resources,AUD,"Suite 2209, 31 Lasso Rd, Gregory Hills NSW 2557 Australia",23/09/2021
S00288,WAGO Pty Ltd,AUD,Noble Park VIC 3174 Australia,30/09/2021
S00289,Blazestop Fire & Electrical Safety,AUD,"PO Box 35, Warrawong NSW 2502 Australia",14/10/2021
S00290,UnicornShift,AUD,"Building 239  Innovation Campus, Squires Way, North Wollongong NSW 2500 Australia",14/10/2021
S00291,WT Microelectronics Singapore Pte Ltd,USD,"2 Serangoon North Avenue 5, #05-01,   554911 Singapore",22/10/2021
S00292,Battery Specialties Pty Ltd T/as  BSA Group Australia,AUD,"Unit 6, 33 Heathcote Road, Moorebank NSW 2170 Australia",28/10/2021
S00293,Data#3,AUD,"L8, 100 Arthur Street, North Sydney NSW 2060 Australia",02/11/2021
S00294,iCam Security Services,AUD,Australia,04/11/2021
S00295,Flagstaff Group,AUD,"254 Nolan Street, Unanderra NSW 2526 Australia",07/12/2021
S00296,Elecom Electronics Supply,AUD,Bermont VIC 3133 Australia,09/12/2021
S00297,Dumac Engineering Pty Ltd,AUD,"24 Arlott St, Gracemere QLD 4702 Australia",10/12/2021
S00298,Bac Systems Pty Ltd - NSW,AUD,"193-195 Power Street, Glendenning NSW 2761 Australia",13/12/2021
S00299,SODAQ Products B.V.,EUR,"Bussumerstraat 34, Hilversum  1211BL Netherlands",14/12/2021
S00300,BNZ Automotive,AUD,"53 Charles Road, Fernhill NSW 2519 Australia",21/12/2021
S00301,Globelink International Pty Ltd,AUD,"P O Box 725, Matraville NSW 2036 Australia",17/01/2022
S00302,Damstra Technology Pty Ltd,AUD,"The Como Centre Suite 3  Level 3/299 Toorak Rd, SOUTH YARRA VIC 3141 Australia",20/01/2022
S00303,PM Control Australia,AUD,Kingsgrove NSW 2208 Australia,02/02/2022
S00304,Hallings Roller Shutters,AUD,Australia,07/02/2022
S00305,OPEN4,AUD,"122 Casto Way, Derrimut VIC 3030 Australia",09/02/2022
S00306,"Tiger Containers Hire, Sales & Modifications Pty Ltd",AUD,"PO BOX 309, MARRICKVILLE NSW 1475 Australia",09/02/2022
S00307,Wollongong City Motors,AUD,"Corner Flinders St and Station St, North Wollongong NSW 2500 Australia",09/02/2022
S00308,St John Ambulance Australia (NSW),AUD,"Level 1, 9 Deane Street, Burwood NSW 2134 Australia",11/02/2022
S00309,Jim O'Meara Backhoe Hire,AUD,"12 Karoo St, Albion Park Rail NSW 2527 Australia",14/02/2022
S00310,Peter Nasta & Associates,AUD,"mail 1 cormorant place, Regency Heights NSW 2506 Australia",21/03/2022
S00311,KUONGSHUN ELECTRONIC LIMITED,USD,"Room 302, Tairan Science Park Building 212, Che Gong Miao, Futian District, Shenzhen   China",21/03/2022
S00312,Switched On Pty Ltd,AUD,"1 Hall Avenue, Collaroy Plateau NSW 2097 Australia",31/03/2022
S00313,Minnovation Australia,AUD,"11 Rays Way, Pakenham VIC 3810 Australia",01/04/2022
S00314,Vivacity Engineering Pty Ltd,AUD,Thornleigh NSW 2120 Australia,11/04/2022
S00315,AI-BLOX BV,EUR,"Ikaroslaan 1, B-1930 Zaventem   Belgium",12/04/2022
S00316,RIC Electrics,AUD,"6 Nesbitt Street, WAGGA WAGGA NSW 2650 Australia",12/04/2022
S00317,Kara's Plumbing,AUD,"2 Ocean Street, St Mount Saint Thomas NSW 2500 Australia",13/04/2022
S00318,Hong Guan Technology Sdn Bhd,USD,"No 15, Lorong Mak Mandin Jaya 8,, 13400 Butterworth, Penang   Malaysia",19/04/2022
S00319,Skelscaff Scaffolding,AUD,"PO Box 620, Thirroul NSW 2515 Australia",26/04/2022
S00320,Property Council of Australia,AUD,"Level 1, 11 Barrack Street, SYDNEY NSW 2000 Australia",10/05/2022
S00321,Hammerhead Enterprises Pty Ltd,AUD,Australia,24/05/2022
S00322,Turbo-Vac (Aust) Pty Ltd,AUD,"PO BOX 4010, SHELLHARBOUR NSW 2529 Australia",25/05/2022
S00323,Rainsmart Solutions,AUD,"13, Butterfield Street, Blacktown NSW 2148 Australia",22/06/2022
S00324,D&J Professional Roofing Pty Ltd,AUD,"17 Darly Avenue, Kanahooka NSW 2530 Australia",23/06/2022
S00325,Altus Traffic Pty Ltd,AUD,"Level 1, 660 Lorimer Street, Port Melbourne VIC 3207 Australia",23/06/2022
S00326,Lakeview Interiors,AUD,"399 Reddall Parade, Mt. Warrigal NSW 2528 Australia",27/06/2022
S00327,Godina Building Services,AUD,"15 Blacket St, North Wollongong NSW 2500 Australia",30/06/2022
S00328,Van Dieman Diamond Pty Ltd,AUD,"4 Carla Close, Lenah Valley TAS 7008 Australia",01/07/2022
S00329,Sydney Tools Pty Ltd Warrawong,AUD,Warrawong NSW 2502 Australia,04/07/2022
S00330,LG Electronics Australia Pty Ltd,AUD,"PO Box 212, Horsley Park NSW 2175 Australia",06/07/2022
S00331,Nekeema Australia Pty Ltd,AUD,"PO Box 495, Unanderra NSW 2526 Australia",06/07/2022
S00332,Shawn Dorney Electrical,AUD,"15 James Street, Murwillumbah NSW 2484 Australia",13/07/2022
S00333,JRW Electrical & Communications,AUD,"114 Prince Street, Orange NSW 2800 Australia",13/07/2022
S00334,All Purpose Electrical Services,AUD,"Upper Level Suite 4, 6 Fremantle Road, GOSNELLS WA 6110 Australia",13/07/2022
S00335,Bartolotta Plumbing,AUD,"9 Horsley Rd, OAK FLATS NSW 2529 Australia",14/07/2022
S00336,Ekelec Electrical,AUD,"11 Redwood Gr., Goonellabah NSW 2480 Australia",15/07/2022
S00337,Brad Morley Electrical,AUD,"21 Severn Cir, Dubbo NSW 2830 Australia",27/07/2022
S00338,Van Diemen Electrical Pty Ltd,AUD,"14 Susan Parade, LENAH VALLEY TAS 7008 Australia",27/07/2022
S00339,Spence Electrical,AUD,"27 Greenlea Cres, Coffs Harbour QLD 2450 Australia",01/08/2022
S00340,Go Hire Site Rentals,AUD,"9-11 West Dapto Road, Kembla Grange NSW  Australia",04/08/2022
S00341,Guangzhou Sun Young Electronics Co; Ltd,USD,"Guangdong Province, Guangzhou City   China",05/08/2022
S00342,McHugh and Eastwood (Aust) Pty Ltd,AUD,"P O Box 259, North Geelong VIC 3215 Australia",08/08/2022
S00343,Data Audit Systems Pty Ltd,AUD,"39 Rockford Dr, Bellbird Park QLD 4300 Australia",09/08/2022
S00344,Hansen's Electrical,AUD,"119 Edward Street, Tamworth NSW 2340 Australia",19/08/2022
S00345,Garrott Electrical Pty Ltd,AUD,"4/28 Glastonbury Ave, UNANDERRA NSW 2526 Australia",19/08/2022
S00346,Signet Pty Ltd,AUD,"P O Box 1155, CAPALABA QLD 4157 Australia",31/08/2022
S00347,Coastal Windows & Doors (NSW) Pty Ltd,AUD,"224-226 Berkeley Road, Unanderra NSW 2526 Australia",05/09/2022
S00348,BST Australia Pty Ltd,AUD,"37 Weaver St, Edwardstown SA 5039 Australia",07/09/2022
S00349,Lawrence & Hanson Group Pty Ltd,AUD,Unanderra NSW 2526 Australia,19/09/2022
S00350,Bennett Plumbing,AUD,"29 Thompson Rd, Broughton Village NSW 2534 Australia",21/09/2022
S00351,Officeworks,AUD,NSW  Australia,12/10/2022
S00352,MHA Products,AUD,"PO Box 2157, North Parramatta NSW 2150 Australia",17/10/2022
S00353,Discovery Technology P/L,AUD,"L8, 100 Arthur Street, North Sydney NSW 2060 Australia",18/10/2022
S00354,Homeland Locksmiths and Security,AUD,"1/13 Resolution Drive, Unanderra NSW 2526 Australia",08/11/2022
S00356,Leonardo’s Painting Pty Ltd,AUD,"302 Gladstone avenue, Mt. St. Thomas NSW 2500 Australia",28/11/2022
S00357,Livewired Electrical Pty Ltd,AUD,"PO Box 709, Toowoomba QLD 4350 Australia",05/12/2022
S00358,WHK RENTALS PTY LTD,AUD,Wollongong NSW 2500 Australia,07/12/2022
S00359,Masar Rizvani,AUD,Australia,12/12/2022
S00360,Renzo Tonin Association (NSW) Pty Ltd,AUD,"Level 1, 418A Elizabeth Street, Surry Hills NSW 2010 Australia",17/02/2023
S00361,Nikolovski Lawyers,AUD,Australia,17/02/2023
S00362,Heard McEwan Legal,AUD,"91 Crown Street, Wollongong NSW 2500 Australia",27/02/2023
S00363,Safeguard Safes Pty Ltd,AUD,Australia,28/02/2023
S00364,Elvery's Electrical Service,AUD,"19 McLean Street, Bundaberg Central QLD 4670 Australia",02/03/2023
S00365,BVY Pty Ltd,AUD,"3/489 Rocky Point Road, Sans Souci NSW 2219 Australia",03/03/2023
S00366,Platinum Solar Designs,AUD,Kiama Downs NSW 2533 Australia,14/03/2023
S00367,Amoroso Home Improvements,AUD,Minto NSW 2566 Australia,03/04/2023
S00368,Illawarra Kitchens,AUD,"Unit 5 & 6 / 16 Glastonbury Ave, Unanderra NSW 2526 Australia",17/04/2023
S00369,Resolve Electrical Projects,AUD,"5 Ford Pl, Gordon ACT  Australia",05/05/2023
S00370,MPC Roofing Co,AUD,Australia,25/05/2023
S00371,University of Wollongong,AUD,Wollongong NSW 2522 Australia,30/05/2023
S00372,Dan's Pest Control,AUD,Australia,13/06/2023
S00373,Timberclub Australia Pty Ltd,AUD,"16 Princes Hwy, Fairy Meadow NSW 2519 Australia",14/06/2023
S00374,Oz Tech (Aust) Pty Ltd,AUD,"18 Beach St, Wollongong NSW 2500 Australia",15/06/2023
S00375,Vantage West Electrical Service,AUD,Belmont WA 6104 Australia,04/07/2023
S00376,"Xiamen Milesight IOT Co., Ltd",USD,"Xiamen, Fujian  361024 China",10/07/2023
S00377,Illawarra Signs Company Pty Ltd,AUD,"81 Shellharbour Rd, PORT KEMBLA NSW 2505 Australia",24/07/2023
S00378,MK Technologies Pty Ltd,AUD,"55 Montague Street, North Wollongong NSW  Australia",04/08/2023
S00379,SYCURUS AUSTRALIA PTY LTD T/A CYBERMATE,AUD,Australia,08/08/2023
S00380,Thinkific Labs Inc.,USD,"400 -369 Terminal Avenue, Vancouver British Columbia  V6A4C4 Canada",14/08/2023
S00381,Adam Heaton,AUD,"15 Ryan St, Balgownie NSW 2519 Australia",24/08/2023
S00382,Danis Maintenance,AUD,Australia,30/08/2023
S00383,JWC Electrical Pty Ltd,AUD,"1 Croome Lane, Albion Park Rail NSW 2527 Australia",30/08/2023
S00384,Repurpose,AUD,"3A Foord Avenue, Hurlstone Park NSW 2193 Australia",05/09/2023
S00385,Aberdeen House Pty Ltd,AUD,"PO Box 103, Edgecliff NSW 2027 Australia",19/09/2023
S00386,Green Electrical Tas,AUD,"165 Saxon Drive, Action Park TAS 7170 Australia",21/09/2023
S00387,"Expand Group Co., Limited",USD,"3C, Block A, Colorful Holiday Building NanGuang Road, NanShan District, ShenZhen   China",03/10/2023
S00388,JJ Lawson Customs & Freight Brokers Pty Ltd,AUD,"PO Box 489, Mascot NSW 1460 Australia",11/10/2023
S00389,Franks Lawnmowing & Gardening,AUD,Australia,09/11/2023
S00390,Curran Plumbing & Electrical,AUD,"PO BOX 451, Shellharbour City Centre NSW 2527 Australia",16/11/2023
S00391,Australian Warning Systems,AUD,"14-16 Wedgewood Road, Hallam VIC 3803 Australia",29/11/2023
S00392,Aramex Wollongong,AUD,"38 Doyle Avenue, Unanderra NSW 2526 Australia",30/11/2023
S00393,Winmate Communications U.S. Inc.,USD,"2640 Mathews Street, Smyrna GA 30080 USA",11/12/2023
S00394,Precision,AUD,"43 Carlingfort St, Regents Park NSW 2143 Australia",30/12/2023
S00395,"Knowles Electronics, LLC",USD,"Itasca, Ill  60143 USA",16/01/2024
S00396,"DocuSign, Inc",AUD,San Francisco CA 94105 USA,22/01/2024
S00397,Alpine Refrigeration & Air Conditioning Pty Ltd,AUD,"44 Auburn Street, Wollongong NSW 2500 Australia",23/01/2024
S00398,S & R Painting Co.,AUD,NSW  Australia,07/02/2024
S00399,Promotional Product Experts,AUD,"Unit 5, 83-87 Wellington Street, St Kilda VIC 3182 Australia",23/02/2024
S00400,INDAH PROPERTY MAINTENANCE,AUD,NSW  Australia,29/02/2024
S00401,Maddisson Employment & Training Group T/as Edmund Barton College,AUD,NSW 2060 Australia,07/03/2024
S00402,SIXT Australia,AUD,Australia,07/03/2024
S00403,Corsight AI Ltd,USD,"Twin Towers - Tower 2, Floor A 35 Jabotinsky St,   Ramat Gan Israel",07/03/2024
S00404,Mouser Electronics,AUD,Australia,08/03/2024
S00405,Cognito Health,USD,"9F-1 No.3 Yuanqu St, Nangang District, Taipei City  11503 Taiwan",11/03/2024
S00406,Miscellaneous (AUD) Supplier/Vendor,AUD,Australia,12/03/2024
S00407,Miscellaneous (USD) Supplier/Vendor,USD,Australia,12/03/2024
S00408,Winmate Inc.,USD,"9F, No. 111-6, Xingde Rd, Sanchong Dist., New Taipei City  241458 Taiwan",12/04/2024
S00409,Cybermate Australia (Sycurus Pty Ltd),AUD,Australia,22/04/2024
S00410,Acoustic Blinds and Curtains,AUD,Australia,05/07/2024
S00411,Sentec Pty Ltd,AUD,"16 Thorpe St, Indooroopilly QLD 4068 Australia",05/07/2024
S00412,3dtracking International Ltd,USD,"Oddfellows Hall 8 Lefebvre Street, St Peter Port, Guernsey  GY1 2PE United Kingdom",16/07/2024
S00413,Commercial Freight & Logistics,AUD,"P O Box 2805, TAREN POINT NSW 2229 Australia",30/08/2024
S00414,C&T Solution Inc.,USD,"18F, No.176, JianYi Rd.,, Zhonghe Dist. New Taipei City  235 Taiwan",06/09/2024
S00415,Construction Electrical Services,AUD,"12 Mallett Road, Tullamarine, Tullamarine VIC 3043 Australia",13/09/2024
S00416,Local Buy Pty Ltd,AUD,QLD 4006 Australia,21/11/2024
S00417,QCC LLC,USD,Schiller Park IL 60176 USA,04/12/2024
S00418,Adolf Gordon Corporation,USD,"142 Echo Drive, Vernon CT 06066 USA",10/01/2025
S00419,"YUAN High-Tech Development Co., Ltd.",USD,"18F, NO.88, Sec.2, Chung Hsiao E.Rd.,, Zhongzheng District, Taipei  100 Taiwan",23/01/2025
