soNumber,customerOrderNo,salesEmployee,customerCode,customerName,partCode,description,stockQty,outstandingQty,dueDate,outstandingValue(LC),outstandingValue(FC),outstandingQty,dueDate
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,13/02/26,6714.5,0,10,13/02/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,13/03/26,6714.5,0,10,13/03/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,17/04/26,6714.5,0,10,17/04/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,15/05/26,6714.5,0,10,15/05/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,12/06/26,6714.5,0,10,12/06/26
407843,4501096663,Karen Riddell,ENFLX4,Enerflex Service,AVT0995,FP.AL075D1-120:EFS,0,1,02/09/25,760,0,1,02/09/25
407844,4500149957,Karen Riddell,OREN1,Origin Energy,AVTSF1530PVW4,FP.SF1530PVW4-X53-130,0,1,02/09/25,2441,0,1,02/09/25
407844,4500149957,Karen Riddell,OREN1,Origin Energy,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,02/09/25,45,0,1,02/09/25
407846,POH2500519,Karen Riddell,FDAG6,Flexible Drive Pty Ltd,AXS1731833,SO.1751ES-12E2UC3B1S5,0,15,05/08/25,2447.25,0,15,05/08/25
407846,POH2500519,Karen Riddell,FDAG6,Flexible Drive Pty Ltd,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,05/08/25,30,0,1,05/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP2028,SO.SA-4153 BOOT 2000/1751 SIL,119,20,06/08/25,154,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP018,SO.SA-0008-A C'YOKE,77,20,06/08/25,594,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP010,SO.SA-4049 IN-LINE SWIVEL,108,20,06/08/25,330,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS15130,SO.1504-24C2U1B1S1A  (1500-2057),415,20,06/08/25,2585,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS23715,SO.2370-12E2U1B2S1A (2300-1508),14,8,06/08/25,2948,0,8,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS17306,SO.1751-12A6U1B1S5A (1700-2517),549,20,06/08/25,3234,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSK1740,SO.SA-4259-12 KUBOTA 3A KIT,75,12,06/08/25,3082.2,0,12,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS17310,SO.1751-12E2U1B1S1A (1700-2553),763,20,06/08/25,3146,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS17315,SO.1751-24E2U1B1S1A (1700-2513),301,20,06/08/25,3234,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS20620,SO.2003-12E2U1B1S1A (2000-4507),506,20,06/08/25,4158,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXS14105,SO.SA-4569-T -KUBOTA SPECIAL-,65,30,06/08/25,4158,0,30,06/08/25
407851,241366,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4000,19/11/25,10837.59,7000,4000,19/11/25
407853,P1093654,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3462,DS.6980604,0,2,07/11/25,50,0,2,07/11/25
407853,P1093654,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3461,DS.6980512,0,2,07/11/25,36,0,2,07/11/25
407853,P1093654,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS00782,DS.6980524,0,2,07/11/25,36,0,2,07/11/25
407853,P1093654,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3013,DS.GEM-1185GRE-32G,0,2,07/11/25,9790,0,2,07/11/25
407853,P1093654,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,07/11/25,60,0,1,07/11/25
407402,4501883095,Jennifer Chen,UGLR2,UGL Rail Services,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,21/08/25,45,0,1,21/08/25
