soNumber,customerOrderNo,salesEmployee,customerCode,customerName,partCode,description,stockQty,outstandingQty,dueDate,outstandingValue(LC),outstandingValue(FC),outstandingQty,dueDate
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS8001,SP.SSD3F0R,0,1,29/07/25,2477,0,1,29/07/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS7502,NT.PA-280W-CW6P-2P,0,1,29/07/25,210,0,1,29/07/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS7503,NT.Cblkit-FP-NRU-230V-AWP,0,1,29/07/25,442,0,1,29/07/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS7504,NT.Cbl-TpCPlug-DPM-1M,0,1,29/07/25,62,0,1,29/07/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS7505,NT.Cblkit-BP-NRU-230V-AWP,0,1,29/07/25,558,0,1,29/07/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,29/07/25,40,0,1,29/07/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,12/01/26,13044.19,8000,2500,12/01/26
407111,PO- 06610,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172988,GV.GS3241-INTE3Z,10000,2500,01/12/25,29471.71,18075,2500,01/12/25
407111,PO- 06610,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172988,GV.GS3241-INTE3Z,10000,2500,01/12/25,29471.71,18075,2500,01/12/25
407318,PO-06666,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,02/03/26,12604.38,8000,2500,02/03/26
407318,PO-06666,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,02/03/26,12604.38,8000,2500,02/03/26
407533,PO-6763,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,02/03/26,12338.06,8000,2500,02/03/26
407533,PO-6763,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,02/03/26,12338.06,8000,2500,02/03/26
407784,239556,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4000,07/11/25,10678.87,7000,4000,07/11/25
407788,PO016946,Karen Riddell,PEBR3U,Peacock Bros,AMD2000,OY.UP-L62-A1-1010,11,1,17/07/25,697,455,1,17/07/25
407788,PO016946,Karen Riddell,PEBR3U,Peacock Bros,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,17/07/25,32.17,21,1,17/07/25
407792,4501901649,Jennifer Chen,UGLR2,UGL Rail Services,R742420VM-CLY,ST.74V-24V NON-ISOLATED DC-DC,22,1,09/12/25,553,0,1,09/12/25
407792,4501901649,Jennifer Chen,UGLR2,UGL Rail Services,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,09/12/25,50,0,1,09/12/25
407793,3000002761,Karen Riddell,GSCA4,Gransolar Construction Australia Pty Ltd,TP03009,TC. OMEGA G Traffic Recorder,3,1,14/08/25,1585,0,1,14/08/25
407793,3000002761,Karen Riddell,GSCA4,Gransolar Construction Australia Pty Ltd,TP03016,TC.CENTURION PARKS LICENSE,2,1,14/08/25,0,0,1,14/08/25
407793,3000002761,Karen Riddell,GSCA4,Gransolar Construction Australia Pty Ltd,TP03002,TC.CENTURIUM PARKS SOFTWARE,1,1,14/08/25,1546,0,1,14/08/25
407793,3000002761,Karen Riddell,GSCA4,Gransolar Construction Australia Pty Ltd,TP01028,TC.DUAL ROAD TUBE KIT,17,1,14/08/25,210,0,1,14/08/25
407793,3000002761,Karen Riddell,GSCA4,Gransolar Construction Australia Pty Ltd,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,14/08/25,50,0,1,14/08/25
