customerCode,customerName,customerNotes
BASC4,Balone Shire Council,
BAXT3,Baxters MTQ  Pty Ltd,30% Discount
BBEM7,Briarbanks Engineering & Mechancial,
BBRC8A,Home-Co Peninsula Home,
BBRC8B,HomeCo. Sunshine,
BBRC8C,Home-Co. Midland,
BBRC8D,Home-Co Jindalee Home,
BBRC8E,Aventus Tweed Unit Trust,
BBRC8F,Home-Co Kotara,
BBRC8G,Home-Co Caringbah,
BBRC8H,Aventus Sunshine Coast,
BBRC8I,HomeCo. Cranbourne,
BBRC8J,Home-Co Mile End,
BBRC8K,Home-Co Epping Hub,
BBRC8L,Home-Co Ballarat,
BBRC8M,Home-Co Tuggerah,
BBRC8N,McGraths Hill,
BBRC8O,Home-Co Warners Bay,
BBRC8Q,Home-Co Bankstown Home,
BBRC8R,Aventus Logan Unit Trust,
BBRC8S,Aventus Macgregor Unit Trust,
BBRC8T,Home-Co Belrose,
BBRC8U,Home-Co Highlands,
BBRC8W,Home-Co Marsden Park Home,
BBRC8X,Calardu Maroochydore Homemaker Centre,
BBSC8,Baw Baw Shire Council,
BCCO8,Bathurst Regional Council,
BCCO8A,BLACKTOWN CITY COUNCIL,
BCIC8,Belmont Citi Ctr.Partnership,
BDMA6,Blue Diamond Machinery,15% discount
BECA2,B E Campbell (NSW) Pty Ltd,
BECE6,BEC Engineering Pty Ltd,
BEEN3,Bell Environmental,
BEFR8,Best Friends Stores Pty Ltd,
BEMA3,Bendigo Marketplace,
BERT4,Bertrand Export QLD Pty Ltd,
BEVI8,GREEN 88 NO2 PTY LTD,
BFPE4,BFP Engineering,
BHCC2,Broken Hill City Council,
BHPMAC,BHP - Mt. Arthur Coal,
BHPPH6,BHP Iron Ore Nelson Point,
BHPS2,Bluescope Steel Limited,Vendor No: 103364
BICO6,Bunbury Industrial Controls,
BINE0,Belton IT Nexus Ltd,
BKBBS3,Bkb Building Solutions Pty Ltd,
BLAY2,Blayney Shire Council,
BLEW2,Blewi Mobile Plant Repairs,10% Discount
BLSC2,Bland Shire Council,
BLWO4,Blackwoods,
BMDC2,BMD Constructions,
BMDE0U,Blackmagic Design Manufacturing Pte Ltd,
BMDE3U,Blackmagic Design Pty Ltd,
BMDS4,Bdms Engineering,
BMTG4,Bmt Global,
BOAS6,Boral Asphalt,
BOCO6,Boodarie Contracting,
BODC7,Break O Day Council,
BOEN2,Boss Engineering,30% discount
BOEQ6,Boya Equipment Pty Ltd,
BOFA2,Boredale Farming,
BOMA2,Porta Products Pty Ltd,
BOMG3,Bureau of Meteorology,
BORA4,Bowen Rail Company Pty Ltd,
BPBB8,Lif Pty Ltd Atf Loc Gov Property Fund,
BPSC2,BRIDGEPOINT SHOPPING CENTRE,
BRAU7,Broadcast Australia Pty Ltd,
BRAV8,Adani Mining Pty Ltd T/A Bravus Mining & Resources,
BRCO8,Barcaldine Regional Council,
BRDRE2,Bradken Resources Pty Ltd,
BRES3,BRE Services Co Pty Ltd,
BRHAD8,Brad Hards,
BRHI2,Brycker Hire,
BSAE4,Bright Spark Autos Pty ltd,
BSCO2I,Bourke Shire Council,
BSCO2K,Byron Shire Council,
BSCO8,Ballina Shire Council,
BSCO8F,Berrigan Shire Council,
BSCO8G,Bogan Shire Council,
BSFA3,Bay Sea Farms Pty Ltd,
BSHE3,Blamey Saunders Hearing,
BSJA2,BSJ Auto Electrics,
BSOR2,Bilpin Springs Orchard,
BTCR4,BTC Repairs,
BUAE2,Buckland Auto Electrical P/L,20% Discount
BUCC7,Burnie City Council,
BUCO4,Burdekin Council,
BUDFO,Buderim Foods Pty Ltd,
BUGR6,Bunbara Group,
BUMU2,Bucher Municipal,15%
BURC8,Bundaberg Regional Council,
BUSC8,Burke Shire Council,
BUSGR2,Busways Group Pty Ltd,
BUSU4,Bundaberg Sugar,
BVGFS,BVG Family Superfund,
BVSC2,Bega Valley Shire Council,
BWRTE2,BWR Technologies Pty Ltd,
CAAL8,Calardu Albury Pty Ltd,
CABA8,The trustee for Calardu Ballina No. 1 Trust,CBRE VENDOR NO: 213541
CABE0,Sato Australia,
CABE8,Calardu Bendigo P/L ATF Calardu Bendigo Trust,
CABP4,Calardu Browns Plains,
CABR3,Cabrini,
CACE2,Canberra Centre Investments Pl,
